files_changed,lines_added,lines_deleted,test_coverage,developer_experience,previous_incidents_30d,rollback_rate_90d,deployment_frequency_7d,database_changes,services_touched,hour_of_day,incident_occurred
3,29,39,85.73,4,2,0.1149,4,0,2,19,0
24,716,401,90.54,2,4,0.1304,3,1,4,17,1
2,29,19,87.39,1,3,0.1187,3,0,4,3,0
15,173,177,84.61,2,2,0.1583,2,0,1,9,0
15,436,242,75.68,5,1,0.1164,5,0,4,18,0
7,62,49,86.55,3,1,0.0818,3,0,4,1,0
7,203,93,74.53,1,0,0.0503,2,0,3,11,0
2,55,15,79.69,5,0,0.0685,3,0,1,7,0
7,219,67,86.79,6,0,0.0524,6,0,4,19,0
4,50,24,74.39,7,0,0.0454,1,0,3,1,0
5,59,38,83.81,9,0,0.0629,4,0,1,5,0
15,419,233,78.2,4,0,0.0786,2,1,1,11,0
12,174,184,64.14,9,1,0.1133,16,0,1,21,1
10,169,119,71.96,3,0,0.0419,3,0,4,18,0
2,32,31,78.06,5,1,0.0516,1,0,1,9,0
11,101,173,98.41,4,3,0.2101,3,0,2,21,0
3,70,32,77.01,1,2,0.1861,3,0,2,20,0
15,408,95,78.33,10,1,0.1753,3,0,3,22,0
6,140,56,79.0,7,1,0.1907,8,0,4,8,0
38,579,410,80.41,10,0,0.0,5,0,1,0,0
4,95,62,86.02,6,1,0.0641,2,0,3,9,0
11,215,88,77.7,5,0,0.0303,4,0,3,8,0
19,586,242,76.87,4,1,0.1581,4,1,2,1,1
5,136,60,86.84,6,1,0.1234,3,0,1,20,0
4,60,66,73.13,7,0,0.0933,4,0,1,18,0
21,456,122,88.89,4,0,0.0,2,0,4,21,0
7,106,38,72.9,9,1,0.0629,2,1,1,15,0
10,142,151,80.13,3,1,0.0777,4,0,3,20,0
1,16,14,77.0,5,3,0.1377,4,0,3,11,0
9,135,141,60.69,8,2,0.1007,3,1,1,15,1
8,160,128,76.88,7,2,0.128,2,0,4,1,0
5,58,89,85.3,6,1,0.0863,1,0,4,4,0
5,125,73,94.57,8,1,0.0721,5,0,2,10,0
13,105,92,99.0,3,2,0.199,3,0,2,15,0
4,106,19,69.95,7,0,0.0841,4,0,4,13,0
7,120,24,84.15,4,2,0.1449,4,0,1,10,0
4,82,13,72.19,1,1,0.1496,6,0,2,7,0
3,48,14,69.21,7,0,0.0062,2,0,3,5,0
16,145,275,77.34,8,1,0.1338,3,0,3,13,0
10,318,81,70.52,8,0,0.0775,4,0,2,5,0
2,60,18,82.1,4,2,0.151,8,0,2,6,0
4,88,22,99.0,6,3,0.2061,1,0,1,12,0
4,56,44,75.91,1,0,0.0424,1,0,1,21,0
9,252,33,99.0,2,0,0.0,3,0,4,3,0
3,58,15,99.0,1,0,0.0855,2,0,1,21,0
6,137,81,89.15,7,4,0.213,4,0,1,16,1
2,21,9,72.4,2,0,0.101,4,0,2,8,0
9,282,75,72.88,7,1,0.1117,2,0,1,17,0
10,129,169,99.0,6,0,0.0916,1,0,1,21,0
10,106,116,80.45,8,2,0.127,4,1,1,16,0
6,152,99,80.54,4,0,0.0614,10,0,3,8,0
12,124,67,68.65,1,0,0.0,6,0,3,21,0
11,282,48,86.33,1,1,0.1569,2,1,2,21,0
3,47,49,75.63,10,0,0.0116,1,0,1,11,0
5,61,45,87.52,8,2,0.0944,1,0,4,22,0
10,271,127,80.13,3,0,0.0886,4,1,1,5,0
5,149,51,82.34,10,1,0.1254,2,0,2,19,0
8,132,27,86.47,3,1,0.0617,3,0,4,3,0
12,222,47,83.57,6,1,0.1372,1,1,2,21,0
18,368,239,78.64,10,2,0.1091,3,1,2,15,1
3,72,26,64.13,9,2,0.0759,2,0,1,0,0
10,117,157,78.67,8,0,0.026,3,0,1,15,0
9,143,64,92.18,9,0,0.159,3,0,4,12,0
9,89,86,88.93,10,1,0.1141,9,0,4,14,0
4,126,56,99.0,1,2,0.1368,7,1,4,1,0
6,48,26,93.65,10,2,0.1275,7,0,3,16,0
2,47,19,83.44,6,1,0.1007,4,0,1,7,0
4,63,58,94.79,10,3,0.1232,5,0,3,22,0
25,258,322,92.71,1,1,0.0468,5,0,3,17,0
11,273,40,63.3,3,1,0.0915,1,0,4,3,0
10,127,48,84.51,7,0,0.0422,3,1,2,22,0
3,78,11,85.44,10,0,0.1021,3,1,4,14,0
7,216,35,89.4,8,0,0.0838,2,1,1,17,0
6,168,61,81.18,9,1,0.0745,6,0,2,22,0
8,204,39,76.96,7,2,0.1728,2,0,3,16,0
11,198,133,79.32,4,1,0.1005,2,0,3,9,0
11,123,101,86.7,9,0,0.1086,2,0,3,22,0
2,42,12,75.9,4,1,0.1355,2,0,3,21,0
8,193,141,75.43,3,1,0.1353,1,0,3,22,0
9,148,91,70.14,10,2,0.1093,2,0,4,21,0
3,84,21,64.48,7,1,0.1007,2,0,1,0,0
4,37,15,88.08,5,1,0.0599,2,0,2,9,0
2,23,7,76.99,5,4,0.2017,2,1,1,11,1
21,219,336,70.58,9,0,0.1202,10,0,4,7,0
6,162,80,89.12,1,1,0.0359,1,0,4,13,0
13,408,99,63.17,9,1,0.1133,4,1,3,6,1
9,240,144,94.79,4,1,0.0621,2,0,3,18,0
4,89,58,90.3,4,1,0.1455,4,0,2,21,0
18,559,252,70.22,2,2,0.0526,10,0,4,8,1
15,166,176,74.34,5,0,0.0327,5,1,4,22,0
21,188,355,88.95,10,0,0.1283,4,1,3,15,0
6,127,24,60.85,6,2,0.0818,10,0,2,16,0
3,60,27,83.89,9,0,0.0899,3,0,3,7,0
25,598,199,99.0,5,1,0.1138,2,1,4,17,0
12,378,37,79.6,6,1,0.0601,6,0,2,1,0
30,471,502,84.45,2,5,0.2344,1,0,3,0,1
19,526,163,99.0,9,0,0.0393,6,0,1,9,0
13,164,139,99.0,2,1,0.1154,5,1,1,20,0
7,168,102,73.27,7,2,0.0716,2,0,2,17,0
8,232,112,79.0,7,3,0.1595,2,0,1,23,1
22,188,302,66.11,1,1,0.0923,2,1,1,5,1
7,149,81,84.75,4,3,0.1297,6,0,4,12,0
4,70,30,65.67,7,2,0.1452,2,0,1,20,0
9,85,127,71.74,1,4,0.2135,8,0,1,11,1
5,52,74,64.62,5,2,0.1276,2,0,3,14,0
17,471,58,99.0,3,0,0.1331,12,0,2,23,0
12,325,134,69.3,3,1,0.1937,3,0,3,0,0
4,85,19,71.21,1,3,0.1189,7,0,4,17,0
5,50,30,99.0,6,0,0.1026,9,1,2,5,0
13,296,88,79.57,2,0,0.0632,3,1,1,17,0
13,275,95,92.1,2,1,0.1692,2,0,2,23,0
1,30,8,70.22,4,1,0.1148,2,1,1,6,0
7,131,85,85.38,5,0,0.0835,1,0,2,18,0
11,301,191,72.2,3,2,0.0882,3,1,2,7,1
7,163,50,91.6,6,1,0.1947,2,1,3,15,0
9,149,68,87.11,9,1,0.215,2,1,1,8,0
2,22,22,96.9,5,1,0.0547,3,0,1,23,0
4,33,42,88.76,1,0,0.1774,7,0,4,18,0
9,79,62,92.27,9,1,0.0683,3,0,2,11,0
14,411,165,83.39,5,1,0.1017,3,1,1,12,0
32,264,210,68.14,10,0,0.1341,4,0,2,14,0
7,151,80,73.69,3,3,0.1802,2,0,4,11,1
7,183,45,77.07,5,1,0.1134,4,0,1,21,0
21,625,176,81.17,8,1,0.0785,5,0,1,1,0
7,110,94,71.3,9,1,0.1109,2,0,3,23,0
6,126,33,90.07,7,0,0.0527,3,0,1,16,0
11,344,69,86.18,7,1,0.1164,7,0,3,15,0
11,322,34,93.01,3,2,0.1323,5,0,2,2,0
3,44,15,87.05,3,2,0.1365,2,0,1,21,0
9,247,124,97.89,8,0,0.0533,4,0,4,6,0
3,70,27,79.9,4,0,0.0585,1,1,2,4,0
7,62,81,76.39,1,1,0.154,2,1,2,16,0
8,179,91,70.28,1,0,0.0857,2,0,3,2,0
16,360,161,83.77,8,2,0.1379,1,1,4,19,1
6,131,87,83.32,10,2,0.0563,3,0,3,5,0
10,162,98,83.31,10,0,0.124,1,1,4,12,0
18,151,195,95.86,9,1,0.0887,3,0,2,19,0
4,77,48,76.85,1,0,0.085,4,0,1,2,0
4,44,48,93.34,1,1,0.1329,6,0,4,16,0
3,86,40,99.0,7,1,0.0646,1,0,4,12,0
11,300,182,78.52,10,1,0.0363,1,1,2,8,0
5,67,79,92.78,5,2,0.1496,4,0,4,8,0
4,100,59,86.24,10,1,0.1276,1,0,1,12,0
4,98,30,98.29,6,0,0.1416,1,1,4,20,0
1,14,11,76.79,10,1,0.0519,4,0,3,21,0
49,631,552,68.42,9,1,0.1592,2,0,3,17,1
2,28,15,86.34,6,3,0.1432,14,0,4,23,0
6,172,28,75.88,4,1,0.0219,3,0,2,3,0
8,140,64,79.72,9,0,0.1088,3,0,1,5,0
7,162,105,69.01,3,0,0.1184,11,0,4,2,0
12,159,50,56.89,1,1,0.1471,4,0,4,19,0
19,282,331,85.92,1,2,0.0728,4,0,2,20,0
4,33,63,75.62,9,0,0.1035,1,0,1,19,0
2,49,24,99.0,1,1,0.038,3,0,1,5,0
4,58,35,66.37,7,1,0.1652,7,0,2,16,1
7,174,117,91.99,9,2,0.0862,6,0,3,11,0
10,146,120,79.73,4,0,0.0587,3,0,4,18,1
8,97,84,93.51,9,1,0.1406,5,1,3,10,0
4,109,69,65.07,9,0,0.0815,3,0,3,22,0
7,119,71,85.96,4,4,0.1972,2,0,4,21,1
11,242,37,98.22,2,0,0.0,3,0,4,20,0
30,398,405,72.52,6,1,0.0356,2,0,3,16,0
12,297,83,75.66,5,2,0.0621,1,1,3,2,1
8,98,61,74.71,4,0,0.0435,1,0,3,5,0
9,219,149,84.13,8,1,0.1234,4,0,2,23,0
11,158,70,73.74,4,2,0.2299,3,0,3,4,0
3,32,12,82.29,8,1,0.0992,4,0,1,15,0
18,280,296,89.75,10,2,0.1763,5,0,4,5,0
3,89,21,90.2,4,1,0.1083,3,0,2,1,0
18,326,307,81.16,1,1,0.113,7,0,4,21,0
12,227,57,73.49,9,2,0.147,4,0,1,0,0
5,85,22,85.15,6,3,0.1713,5,0,3,5,0
6,82,60,72.72,10,1,0.1083,4,0,2,15,0
3,54,42,89.93,6,0,0.0737,4,0,3,14,0
5,55,58,95.52,4,0,0.0811,3,0,3,7,0
7,199,41,84.21,3,1,0.0,6,0,1,5,0
8,89,131,92.48,9,1,0.1147,2,0,3,15,0
2,42,23,99.0,7,2,0.1524,6,1,2,1,0
3,42,46,58.84,2,0,0.0838,9,0,3,8,0
15,321,254,65.28,5,3,0.0916,2,0,4,3,1
11,267,132,88.8,10,0,0.0945,4,0,2,9,0
4,96,41,80.18,8,1,0.1693,1,0,4,19,0
5,115,25,85.29,3,0,0.0752,2,0,3,13,0
5,108,78,92.93,2,1,0.1562,3,1,3,7,0
7,165,95,97.04,10,4,0.1902,3,0,3,14,0
4,122,56,95.04,9,0,0.016,2,0,4,5,0
5,42,69,92.3,5,1,0.0571,2,0,1,6,0
9,94,35,68.74,8,0,0.0,1,0,1,12,0
1,31,4,81.14,10,0,0.0325,2,1,4,9,0
4,102,38,77.08,3,1,0.0649,4,1,2,0,0
11,182,184,77.32,8,1,0.0959,4,0,3,17,0
24,750,323,82.69,3,4,0.1353,2,0,4,20,1
3,87,28,66.0,9,1,0.0648,4,0,3,15,0
8,218,77,62.31,6,3,0.1165,3,0,2,9,1
3,61,43,64.07,3,0,0.074,4,0,4,17,1
12,361,206,80.66,8,0,0.062,4,0,4,9,0
7,189,78,83.83,4,1,0.0521,4,0,4,12,0
18,452,228,86.81,7,0,0.0238,1,0,1,13,0
3,61,44,95.2,10,0,0.1357,4,0,3,9,0
4,83,28,78.9,4,0,0.0448,2,0,2,4,0
18,419,220,98.74,5,1,0.0831,4,0,4,6,0
21,244,368,80.55,1,0,0.1383,1,1,1,9,0
6,150,83,80.49,4,1,0.0724,3,1,1,15,0
5,90,73,74.11,8,0,0.0322,3,0,4,22,0
11,175,172,79.87,3,0,0.0944,9,1,4,2,0
9,111,147,91.96,5,1,0.0556,1,0,1,3,0
4,100,35,93.92,8,4,0.1692,1,0,1,6,0
13,344,140,73.67,4,2,0.1271,4,0,3,10,0
1,25,14,80.38,9,4,0.2318,3,0,3,15,1
18,229,293,76.45,4,4,0.155,3,0,2,20,1
26,217,387,72.57,10,2,0.0789,4,1,2,0,1
10,219,133,98.21,10,0,0.1254,2,1,1,7,0
2,20,24,81.08,1,3,0.1977,3,1,2,22,1
29,306,299,84.24,6,0,0.0334,3,0,3,14,0
13,110,112,70.13,3,2,0.1602,8,0,1,15,0
15,321,167,89.61,8,2,0.1043,4,1,2,17,0
16,409,114,76.5,10,1,0.1574,3,0,2,2,0
14,262,214,78.31,9,0,0.1042,4,0,1,20,0
6,153,97,69.21,10,0,0.0942,10,0,2,10,0
3,71,33,87.21,7,0,0.0758,3,1,4,17,0
17,251,155,83.86,6,1,0.1072,5,1,1,1,0
5,55,80,85.63,4,1,0.1957,7,1,2,3,1
6,140,52,70.98,8,5,0.2306,2,0,3,1,1
21,473,85,98.41,4,1,0.1159,1,0,1,14,0
12,113,136,76.52,7,0,0.0743,2,0,1,19,0
4,35,16,99.0,5,0,0.0,5,1,2,16,0
1,25,10,82.28,4,1,0.0115,3,1,2,18,0
25,307,355,85.61,7,1,0.1058,4,0,3,21,0
3,71,48,87.93,3,1,0.083,5,0,4,16,0
8,94,143,67.94,8,1,0.0607,4,0,3,17,0
7,110,60,76.21,7,1,0.0817,3,0,3,19,0
37,780,319,67.76,9,1,0.0745,3,0,3,11,1
4,74,35,79.4,1,5,0.2438,1,0,1,16,1
3,88,9,53.61,4,1,0.1283,3,1,3,0,1
8,245,122,75.11,9,3,0.197,2,0,2,3,1
13,214,65,99.0,6,0,0.1417,1,0,2,7,0
9,136,104,76.6,10,2,0.1958,4,0,1,23,0
16,313,165,79.63,10,3,0.1104,2,0,1,19,1
9,80,136,84.97,7,1,0.1307,2,1,1,10,0
2,55,18,80.55,2,1,0.0887,1,0,2,23,0
6,134,19,78.94,7,0,0.0617,8,1,1,10,0
6,69,63,82.5,4,0,0.139,3,1,4,14,0
14,305,60,82.8,7,2,0.1375,4,0,4,4,0
12,119,138,80.26,1,0,0.1356,2,0,3,2,0
12,221,161,76.1,3,1,0.0375,2,0,2,15,0
21,455,239,90.86,9,2,0.1775,3,0,1,8,0
5,78,84,71.06,2,1,0.0562,11,1,4,13,0
4,50,32,89.5,1,0,0.0691,1,0,2,11,0
5,158,48,71.6,3,1,0.1481,4,0,2,6,0
10,117,139,71.04,2,1,0.0719,9,1,1,7,0
6,181,96,82.02,5,2,0.1369,3,1,1,9,0
8,68,49,54.87,9,4,0.1116,1,1,3,17,1
10,255,51,81.05,1,1,0.1023,6,0,1,8,0
8,118,118,74.53,10,2,0.14,7,0,4,20,0
2,19,25,83.12,6,2,0.1166,3,0,1,9,0
16,377,103,74.88,7,1,0.0832,2,0,1,10,0
7,156,30,86.92,4,2,0.1255,6,0,4,17,0
4,34,26,91.82,9,0,0.0585,4,0,4,12,0
42,354,557,74.84,6,1,0.1228,4,0,2,16,1
20,189,137,57.74,7,1,0.1544,1,0,1,17,1
1,13,8,87.71,7,0,0.0059,5,0,1,23,0
5,155,60,66.28,4,1,0.0693,3,0,2,13,0
7,208,55,70.27,9,1,0.0789,3,1,2,18,0
7,190,111,86.3,5,2,0.132,4,0,2,13,0
29,911,150,77.18,10,2,0.2195,12,0,3,2,1
3,92,14,78.65,6,3,0.166,1,0,2,23,1
9,140,158,99.0,7,2,0.1025,4,0,3,4,0
2,21,11,70.21,10,2,0.146,7,0,2,19,0
17,416,142,76.53,8,0,0.0811,1,1,4,22,0
9,111,79,99.0,8,2,0.1776,4,1,2,7,0
25,658,80,88.22,5,1,0.0032,2,0,2,23,0
6,77,36,87.46,3,2,0.1642,3,0,4,19,0
7,110,69,86.94,4,1,0.0545,6,0,1,19,0
7,119,53,76.76,10,1,0.014,3,0,1,16,0
5,94,80,72.33,4,2,0.143,3,0,4,23,1
14,242,202,70.9,1,2,0.1094,4,1,4,12,1
23,611,167,88.06,3,0,0.0737,7,0,1,22,0
5,57,77,78.59,8,1,0.0795,1,1,1,5,0
14,427,188,99.0,3,0,0.0357,2,0,3,14,0
6,113,98,68.34,4,1,0.0462,1,0,1,8,0
5,117,68,89.32,3,0,0.0288,2,0,1,2,0
23,432,194,82.33,9,2,0.0793,6,0,2,12,0
9,81,50,78.63,6,0,0.0025,2,0,2,5,0
16,196,218,89.6,7,1,0.084,1,0,4,9,0
15,162,74,92.97,4,1,0.1538,8,1,3,0,0
10,285,111,97.57,1,0,0.0,3,0,4,7,0
15,357,147,83.92,8,2,0.0415,3,1,1,7,0
8,117,99,68.56,4,1,0.0555,3,1,2,1,0
5,44,79,85.18,10,3,0.2016,4,0,3,10,0
30,275,277,91.82,3,1,0.1094,3,1,3,19,0
7,173,81,73.95,9,0,0.0309,3,1,4,23,0
16,485,70,88.46,5,0,0.0835,6,0,4,2,0
4,112,15,81.19,8,3,0.1367,2,1,3,10,1
12,247,161,80.51,10,3,0.1144,6,1,1,15,1
3,67,44,94.22,5,1,0.1194,3,0,3,8,0
13,414,108,87.11,3,2,0.1519,6,0,4,16,0
4,79,60,85.49,10,3,0.1498,2,0,3,6,1
11,94,136,90.76,2,1,0.0574,1,0,2,19,0
9,161,72,88.09,9,1,0.0892,1,0,2,0,0
21,515,143,71.14,2,2,0.0957,2,0,3,0,1
6,95,53,83.09,10,3,0.1189,3,0,1,5,0
16,448,269,87.29,8,0,0.1328,3,0,1,20,0
6,70,59,87.0,9,1,0.1298,5,0,4,13,0
2,18,21,74.39,10,1,0.1266,8,0,3,17,0
5,64,66,77.02,6,0,0.0856,2,1,2,8,0
8,129,69,76.07,9,1,0.1543,1,0,4,5,0
13,373,185,95.99,6,2,0.1039,1,0,3,13,0
14,406,120,86.18,5,2,0.214,7,1,3,5,1
13,348,190,91.79,2,1,0.1337,4,0,1,15,0
15,175,121,68.32,8,1,0.1086,2,0,3,10,0
11,318,168,73.82,9,0,0.0785,1,0,2,6,0
10,190,137,76.22,9,2,0.0744,5,1,3,1,0
11,244,47,73.17,8,2,0.0324,1,0,1,16,0
4,103,13,68.47,5,1,0.0954,4,0,2,10,0
13,193,142,84.66,8,0,0.0778,4,0,3,4,0
9,96,156,85.8,9,1,0.0792,3,0,2,17,0
21,328,107,78.46,5,0,0.0957,2,0,2,2,0
5,147,55,92.74,1,2,0.1765,8,1,4,21,1
16,275,68,80.89,7,3,0.2041,7,1,4,19,1
3,47,17,89.94,9,1,0.1107,3,1,4,18,0
23,632,386,68.34,8,1,0.1531,2,1,3,21,1
8,211,80,80.85,4,1,0.0993,3,1,3,11,0
9,223,116,89.21,6,1,0.1702,1,0,1,2,0
9,147,89,78.95,3,0,0.0318,9,0,3,19,0
4,80,36,84.19,2,0,0.069,4,0,1,9,0
5,88,46,73.57,10,3,0.1372,4,0,2,15,0
5,80,76,73.51,10,0,0.1164,2,0,4,18,0
4,84,26,79.78,2,2,0.0766,3,0,4,3,0
6,114,67,80.28,8,0,0.0894,2,1,4,2,0
8,195,95,89.84,7,2,0.0954,4,0,1,2,0
21,238,245,68.21,1,0,0.1046,1,0,2,14,0
8,138,93,83.58,4,2,0.1717,4,1,3,9,0
27,807,204,67.23,7,1,0.072,2,0,3,2,1
4,90,42,93.48,3,1,0.093,6,0,1,11,0
5,156,15,86.15,9,0,0.0825,3,0,3,3,0
18,517,117,53.62,10,0,0.1545,2,0,3,22,1
26,446,290,77.89,3,0,0.096,7,0,2,17,0
5,150,77,74.67,3,2,0.157,2,0,2,4,1
5,117,25,99.0,8,1,0.0391,7,0,2,2,0
8,218,127,83.78,10,1,0.1837,2,0,2,14,0
6,127,58,99.0,6,0,0.0072,3,0,4,19,0
6,119,83,88.27,9,3,0.1408,2,0,3,1,0
9,194,122,73.98,2,2,0.1154,1,0,1,4,0
9,185,143,86.01,5,1,0.0494,6,0,1,16,0
4,40,40,84.03,2,1,0.0484,5,0,3,19,0
15,243,220,89.32,8,3,0.1022,2,0,4,18,0
15,271,261,93.3,5,0,0.0442,2,0,1,22,0
2,51,27,77.17,10,0,0.0228,1,0,4,18,0
6,55,107,84.71,10,0,0.103,7,1,4,2,0
8,78,118,77.31,5,1,0.135,5,1,3,8,0
12,100,56,80.71,3,2,0.1521,4,0,2,21,0
12,328,83,76.45,4,1,0.1107,1,0,1,10,0
30,936,357,91.78,3,0,0.1125,3,0,4,12,0
16,297,201,87.18,4,0,0.0,11,0,3,1,0
4,104,18,81.98,3,2,0.0765,3,0,4,9,0
3,92,50,86.73,4,2,0.131,4,0,4,15,0
9,186,85,75.49,5,0,0.1033,4,0,4,12,0
8,248,105,86.15,1,2,0.2199,11,1,3,13,1
7,165,49,73.73,5,2,0.1194,2,0,1,8,0
5,86,72,84.95,4,1,0.0751,5,0,2,16,0
3,73,17,88.69,9,2,0.1418,6,1,1,2,1
7,72,31,71.71,8,0,0.1263,5,0,3,8,0
8,68,35,72.25,10,4,0.2285,3,0,2,19,1
1,24,4,73.82,10,3,0.1504,1,1,2,3,1
2,28,20,86.19,2,2,0.118,2,0,3,13,0
7,168,101,84.64,5,0,0.0,2,1,1,8,0
7,120,55,80.64,1,1,0.0712,1,0,3,5,0
7,138,118,85.77,10,0,0.0682,1,0,4,3,0
4,105,25,88.52,2,1,0.1692,2,0,3,3,0
13,125,180,62.86,8,0,0.064,4,1,4,4,0
6,48,21,90.67,7,1,0.1037,1,0,3,12,0
13,264,222,80.01,8,1,0.1503,7,0,4,23,0
6,161,66,83.45,1,0,0.1065,5,0,4,3,0
2,60,16,82.93,5,0,0.0424,1,0,1,11,0
9,279,37,98.01,8,0,0.1109,3,0,3,20,0
18,383,315,87.31,4,1,0.0797,4,0,4,3,0
1,16,4,99.0,8,3,0.1942,6,0,2,1,0
8,202,95,80.58,8,0,0.0329,2,0,3,15,0
3,84,29,74.89,1,1,0.081,3,1,1,10,0
8,72,38,94.57,9,1,0.0846,2,0,2,23,0
15,452,53,65.17,3,0,0.0493,6,0,1,15,0
16,365,106,95.74,3,3,0.1835,2,1,1,9,1
4,41,48,98.1,10,2,0.0844,1,1,1,3,0
8,217,50,75.43,4,0,0.004,1,0,4,10,0
13,317,145,88.04,6,0,0.0181,1,0,2,1,0
10,160,48,77.55,3,1,0.0685,3,0,2,22,0
4,47,26,85.03,10,2,0.1672,4,1,1,20,0
3,79,9,84.11,8,2,0.1701,4,1,1,5,0
8,199,95,73.01,5,3,0.1844,5,0,4,22,1
7,80,49,73.42,8,0,0.1293,1,0,2,19,0
23,513,316,93.22,10,1,0.1051,7,0,3,11,0
16,342,94,68.0,9,2,0.2292,7,0,3,17,1
3,57,37,89.87,4,2,0.1408,7,0,2,3,0
14,342,245,91.7,8,0,0.1276,4,0,2,21,0
11,102,93,81.3,4,1,0.1285,3,0,3,19,0
14,366,51,78.08,1,2,0.0877,6,0,2,5,0
6,117,28,96.53,4,2,0.0367,2,0,3,13,0
11,266,86,59.55,2,1,0.1969,4,0,1,7,1
4,115,34,72.4,4,3,0.1588,3,1,4,1,1
67,769,1133,88.27,8,1,0.0655,1,1,3,4,1
10,126,83,99.0,5,1,0.0732,4,1,2,1,0
7,66,35,68.4,8,0,0.113,1,0,2,10,0
17,256,90,86.88,10,1,0.1769,5,0,2,2,0
8,164,127,79.62,4,0,0.1154,3,0,4,8,0
8,146,128,86.94,4,2,0.1274,2,0,2,18,0
7,209,115,66.01,7,1,0.0586,2,0,1,15,0
20,402,187,82.15,7,1,0.1379,4,0,1,14,0
13,129,185,99.0,7,0,0.0684,1,0,2,11,0
15,353,65,99.0,8,1,0.0671,3,0,2,22,0
23,498,270,76.8,8,2,0.0366,3,0,2,22,1
17,458,145,80.13,8,2,0.1153,5,0,1,20,0
8,235,63,62.14,1,1,0.1473,2,0,3,22,0
3,63,44,77.61,2,1,0.1114,4,0,3,23,0
10,203,166,82.03,6,1,0.0853,1,0,1,12,0
4,91,33,90.9,3,4,0.195,8,0,1,17,0
4,51,70,83.36,4,0,0.002,4,0,4,23,0
8,175,139,77.76,4,2,0.1338,2,0,2,10,0
2,28,26,74.94,5,1,0.0424,9,1,3,11,0
7,140,108,78.54,8,0,0.0941,3,0,3,14,0
14,380,240,75.99,2,0,0.0455,3,1,4,2,0
16,472,117,87.02,2,4,0.1834,2,1,3,3,1
9,179,145,72.05,9,1,0.134,3,0,1,9,0
3,73,50,63.01,8,2,0.0679,2,0,4,23,0
6,89,23,81.3,4,0,0.0507,5,0,3,13,0
7,166,103,73.7,8,0,0.0867,3,0,4,14,0
11,122,163,90.44,3,0,0.1034,4,0,2,15,0
8,119,125,96.33,3,0,0.1016,5,0,4,5,0
5,59,55,75.41,3,1,0.1515,2,0,2,5,0
15,134,116,83.23,3,1,0.0994,3,0,3,5,0
13,324,168,85.26,6,1,0.1283,2,1,4,17,0
4,83,19,81.89,1,1,0.0967,1,0,4,4,0
9,272,48,61.25,9,1,0.1408,6,0,3,20,0
5,96,36,80.49,10,2,0.0854,2,0,4,10,0
3,76,49,84.56,3,1,0.0123,6,0,1,9,0
24,547,151,62.05,6,0,0.0898,2,1,1,19,1
7,154,44,85.68,5,1,0.0884,4,1,1,17,0
4,96,69,99.0,9,1,0.13,2,0,4,10,0
2,40,7,77.71,6,2,0.1036,3,0,4,11,0
9,74,73,80.44,5,2,0.1822,2,0,1,6,0
3,55,53,82.62,8,0,0.1126,3,0,4,23,0
13,147,153,78.06,2,1,0.067,5,1,3,15,0
8,164,64,58.71,10,1,0.0867,1,0,1,0,0
20,598,184,83.69,9,0,0.107,6,0,2,6,0
28,480,316,87.06,1,1,0.1189,11,0,3,18,0
3,64,29,94.03,1,2,0.2012,3,0,2,8,0
8,186,100,96.56,2,1,0.1445,3,0,3,13,0
10,297,126,88.61,1,1,0.087,5,1,3,15,0
5,48,70,75.25,10,1,0.0683,2,0,4,8,0
12,233,160,64.74,2,1,0.1258,4,0,1,8,0
4,37,31,93.69,3,1,0.0887,2,0,1,8,0
5,116,86,89.34,1,0,0.0199,5,0,1,16,0
20,461,289,99.0,10,1,0.0866,5,0,3,10,0
2,48,15,69.37,6,1,0.0762,5,1,3,4,1
16,326,137,88.0,8,2,0.1804,2,0,2,3,0
12,240,185,64.75,9,1,0.0877,1,0,1,13,0
33,324,504,87.62,1,1,0.1394,2,0,3,22,0
9,248,147,84.58,10,1,0.0375,3,0,3,5,0
16,139,243,74.53,4,0,0.0677,7,1,2,22,0
4,44,19,83.88,2,1,0.037,3,0,1,2,0
7,137,66,87.4,4,0,0.1095,3,1,1,15,0
9,126,35,72.35,1,3,0.0826,2,0,1,19,0
2,59,11,87.37,6,0,0.0915,7,1,2,23,0
4,123,32,77.02,3,0,0.121,2,0,2,16,0
11,114,128,78.95,1,1,0.1201,6,0,2,9,0
6,156,18,69.96,2,0,0.0652,9,0,4,11,0
6,74,78,59.99,2,1,0.1326,4,1,3,12,1
9,183,82,93.62,6,1,0.0316,2,1,1,16,0
2,52,27,79.25,9,1,0.1078,2,0,1,10,0
7,120,68,67.03,5,2,0.0473,2,0,4,7,0
17,254,269,74.82,4,0,0.0307,3,0,4,21,0
11,91,144,89.4,2,1,0.1324,2,0,1,3,0
5,88,59,75.8,2,1,0.1429,3,0,2,2,0
21,268,126,66.87,7,0,0.064,1,1,4,23,0
37,975,536,70.75,10,0,0.0846,3,0,4,11,1
3,67,27,90.03,8,2,0.1328,2,0,2,14,0
4,56,41,66.26,3,0,0.104,3,1,1,2,0
4,34,22,82.06,10,1,0.0958,6,0,2,9,0
5,51,20,76.76,9,1,0.0731,5,0,4,6,0
6,119,63,62.24,9,2,0.0859,2,0,1,1,0
1,29,4,89.78,8,3,0.0894,2,0,4,14,0
3,26,34,89.93,5,0,0.111,2,0,2,15,0
7,108,61,93.84,2,2,0.0986,2,0,4,21,0
